date,sales
2021-04-06,269
2021-04-07,248
2021-04-08,277
2021-04-09,268
2021-04-10,266
2021-04-11,292
2021-04-12,298
2021-04-13,260
2021-04-14,259
2021-04-15,269
2021-04-16,209
2021-04-17,233
2021-04-18,320
2021-04-19,329
2021-04-20,272
2021-04-21,297
2021-04-22,289
2021-04-23,372
2021-04-24,313
2021-04-25,276
2021-04-26,251
2021-04-27,231
2021-04-28,285
2021-04-29,255
2021-04-30,235
2021-05-01,257
2021-05-02,243
2021-05-03,326
2021-05-04,300
2021-05-05,273
2021-05-06,316
2021-05-07,273
2021-05-08,244
2021-05-09,314
2021-05-10,283
2021-05-11,234
2021-05-12,258
2021-05-13,236
2021-05-14,219
2021-05-15,287
2021-05-16,315
2021-05-17,214
2021-05-18,271
2021-05-19,233
2021-05-20,236
2021-05-21,231
2021-05-22,221
2021-05-23,247
2021-05-24,218
2021-05-25,249
2021-05-26,238
2021-05-27,230
2021-05-28,209
2021-05-29,217
2021-05-30,255
2021-05-31,245
2021-06-01,199
2021-06-02,230
2021-06-03,247
2021-06-04,173
2021-06-05,238
2021-06-06,200
2021-06-07,235
2021-06-08,194
2021-06-09,161
2021-06-10,165
2021-06-11,214
2021-06-12,219
2021-06-13,182
2021-06-14,227
2021-06-15,157
2021-06-16,204
2021-06-17,169
2021-06-18,184
2021-06-19,205
2021-06-20,177
2021-06-21,190
2021-06-22,231
2021-06-23,183
2021-06-24,225
2021-06-25,166
2021-06-26,215
2021-06-27,242
2021-06-28,125
2021-06-29,175
2021-06-30,217
2021-07-01,193
2021-07-02,211
2021-07-03,182
2021-07-04,203
2021-07-05,196
2021-07-06,237
2021-07-07,210
2021-07-08,213
2021-07-09,192
2021-07-10,191
2021-07-11,193
2021-07-12,219
2021-07-13,196
2021-07-14,219
2021-07-15,274
2021-07-16,239
2021-07-17,205
2021-07-18,252
2021-07-19,206
2021-07-20,158
2021-07-21,191
2021-07-22,167
2021-07-23,215
2021-07-24,228
2021-07-25,280
2021-07-26,241
2021-07-27,227
2021-07-28,261
2021-07-29,172
2021-07-30,248
2021-07-31,266
2021-08-01,201
2021-08-02,282
2021-08-03,260
2021-08-04,240
2021-08-05,274
2021-08-06,325
2021-08-07,265
2021-08-08,269
2021-08-09,251
2021-08-10,241
2021-08-11,294
2021-08-12,246
2021-08-13,276
2021-08-14,262
2021-08-15,293
2021-08-16,291
2021-08-17,314
2021-08-18,270
2021-08-19,279
2021-08-20,260
2021-08-21,278
2021-08-22,305
2021-08-23,318
2021-08-24,270
2021-08-25,325
2021-08-26,342
2021-08-27,315
2021-08-28,361
2021-08-29,283
2021-08-30,270
2021-08-31,256
2021-09-01,355
2021-09-02,331
2021-09-03,311
2021-09-04,322
2021-09-05,281
2021-09-06,389
2021-09-07,320
2021-09-08,321
2021-09-09,340
2021-09-10,333
2021-09-11,326
2021-09-12,296
2021-09-13,334
2021-09-14,376
2021-09-15,360
2021-09-16,368
2021-09-17,304
2021-09-18,290
2021-09-19,316
2021-09-20,321
2021-09-21,351
2021-09-22,267
2021-09-23,363
2021-09-24,312
2021-09-25,303
2021-09-26,285
2021-09-27,264
2021-09-28,338
2021-09-29,314
2021-09-30,272
2021-10-01,271
2021-10-02,298
2021-10-03,357
2021-10-04,298
2021-10-05,259
2021-10-06,295
2021-10-07,293
2021-10-08,218
2021-10-09,296
2021-10-10,289
2021-10-11,315
2021-10-12,348
2021-10-13,324
2021-10-14,281
2021-10-15,254
2021-10-16,362
2021-10-17,285
2021-10-18,282
2021-10-19,279
2021-10-20,284
2021-10-21,271
2021-10-22,257
2021-10-23,256
2021-10-24,269
2021-10-25,252
2021-10-26,245
2021-10-27,268
2021-10-28,255
2021-10-29,306
2021-10-30,180
2021-10-31,291
2021-11-01,294
2021-11-02,193
2021-11-03,243
2021-11-04,241
2021-11-05,209
2021-11-06,226
2021-11-07,215
2021-11-08,300
2021-11-09,274
2021-11-10,283
2021-11-11,266
2021-11-12,209
2021-11-13,227
2021-11-14,256
2021-11-15,204
2021-11-16,262
2021-11-17,233
2021-11-18,228
2021-11-19,261
2021-11-20,253
2021-11-21,228
2021-11-22,274
2021-11-23,207
2021-11-24,258
2021-11-25,257
2021-11-26,231
2021-11-27,250
2021-11-28,203
2021-11-29,269
2021-11-30,237
2021-12-01,228
2021-12-02,276
2021-12-03,224
2021-12-04,204
2021-12-05,201
2021-12-06,267
2021-12-07,212
2021-12-08,304
2021-12-09,190
2021-12-10,305
2021-12-11,262
2021-12-12,255
2021-12-13,243
2021-12-14,273
2021-12-15,262
2021-12-16,298
2021-12-17,271
2021-12-18,274
2021-12-19,261
2021-12-20,272
2021-12-21,285
2021-12-22,227
2021-12-23,240
2021-12-24,305
2021-12-25,290
2021-12-26,282
2021-12-27,290
2021-12-28,303
2021-12-29,278
2021-12-30,274
2021-12-31,305
2022-01-01,273
2022-01-02,317
2022-01-03,256
2022-01-04,340
2022-01-05,326
2022-01-06,322
2022-01-07,346
2022-01-08,369
2022-01-09,351
2022-01-10,268
2022-01-11,287
2022-01-12,309
2022-01-13,330
2022-01-14,347
2022-01-15,312
2022-01-16,341
2022-01-17,315
2022-01-18,321
2022-01-19,299
2022-01-20,315
2022-01-21,304
2022-01-22,317
2022-01-23,379
2022-01-24,321
2022-01-25,429
2022-01-26,366
2022-01-27,358
2022-01-28,328
2022-01-29,376
2022-01-30,339
2022-01-31,360
2022-02-01,434
2022-02-02,355
2022-02-03,393
2022-02-04,338
2022-02-05,358
2022-02-06,413
2022-02-07,341
2022-02-08,414
2022-02-09,381
2022-02-10,343
2022-02-11,379
2022-02-12,389
2022-02-13,378
2022-02-14,311
2022-02-15,336
2022-02-16,350
2022-02-17,354
2022-02-18,374
2022-02-19,360
2022-02-20,314
2022-02-21,364
2022-02-22,370
2022-02-23,368
2022-02-24,382
2022-02-25,373
2022-02-26,361
2022-02-27,343
2022-02-28,294
2022-03-01,355
2022-03-02,347
2022-03-03,347
2022-03-04,299
2022-03-05,303
2022-03-06,366
2022-03-07,331
2022-03-08,351
2022-03-09,330
2022-03-10,328
2022-03-11,353
2022-03-12,308
2022-03-13,324
2022-03-14,306
2022-03-15,305
2022-03-16,306
2022-03-17,321
2022-03-18,298
2022-03-19,348
2022-03-20,282
2022-03-21,301
2022-03-22,292
2022-03-23,346
2022-03-24,307
2022-03-25,331
2022-03-26,254
2022-03-27,305
2022-03-28,322
2022-03-29,296
2022-03-30,324
2022-03-31,275
2022-04-01,332
2022-04-02,357
2022-04-03,276
2022-04-04,273
2022-04-05,329
2022-04-06,331
2022-04-07,267
2022-04-08,270
2022-04-09,273
2022-04-10,241
2022-04-11,253
2022-04-12,250
2022-04-13,257
2022-04-14,278
2022-04-15,286
2022-04-16,326
2022-04-17,249
2022-04-18,309
2022-04-19,273
2022-04-20,278
2022-04-21,300
2022-04-22,247
2022-04-23,292
2022-04-24,287
2022-04-25,297
2022-04-26,292
2022-04-27,358
2022-04-28,266
2022-04-29,270
2022-04-30,269
2022-05-01,272
2022-05-02,271
2022-05-03,327
2022-05-04,336
2022-05-05,277
2022-05-06,271
2022-05-07,312
2022-05-08,283
2022-05-09,320
2022-05-10,309
2022-05-11,260
2022-05-12,354
2022-05-13,363
2022-05-14,293
2022-05-15,302
2022-05-16,324
2022-05-17,328
2022-05-18,340
2022-05-19,383
2022-05-20,320
2022-05-21,304
2022-05-22,288
2022-05-23,310
2022-05-24,334
2022-05-25,391
2022-05-26,324
2022-05-27,349
2022-05-28,344
2022-05-29,382
2022-05-30,425
2022-05-31,336
2022-06-01,339
2022-06-02,388
2022-06-03,379
2022-06-04,416
2022-06-05,381
2022-06-06,355
2022-06-07,385
2022-06-08,403
2022-06-09,396
2022-06-10,389
2022-06-11,408
2022-06-12,413
2022-06-13,421
2022-06-14,401
2022-06-15,378
2022-06-16,389
2022-06-17,422
2022-06-18,363
2022-06-19,400
2022-06-20,379
2022-06-21,392
2022-06-22,431
2022-06-23,400
2022-06-24,396
2022-06-25,355
2022-06-26,419
2022-06-27,417
2022-06-28,463
2022-06-29,389
2022-06-30,406
2022-07-01,407
2022-07-02,447
2022-07-03,397
2022-07-04,408
2022-07-05,418
2022-07-06,405
2022-07-07,386
2022-07-08,405
2022-07-09,431
2022-07-10,368
2022-07-11,402
2022-07-12,376
2022-07-13,433
2022-07-14,350
2022-07-15,378
2022-07-16,405
2022-07-17,440
2022-07-18,390
2022-07-19,374
2022-07-20,446
2022-07-21,345
2022-07-22,321
2022-07-23,399
2022-07-24,369
2022-07-25,352
2022-07-26,402
2022-07-27,387
2022-07-28,361
2022-07-29,338
2022-07-30,400
2022-07-31,392
2022-08-01,368
2022-08-02,424
2022-08-03,335
2022-08-04,319
2022-08-05,342
2022-08-06,360
2022-08-07,367
2022-08-08,350
2022-08-09,366
2022-08-10,316
2022-08-11,395
2022-08-12,348
2022-08-13,382
2022-08-14,357
2022-08-15,359
2022-08-16,360
2022-08-17,355
2022-08-18,359
2022-08-19,378
2022-08-20,342
2022-08-21,356
2022-08-22,331
2022-08-23,375
2022-08-24,310
2022-08-25,383
2022-08-26,327
2022-08-27,284
2022-08-28,330
2022-08-29,305
2022-08-30,349
2022-08-31,304
2022-09-01,309
2022-09-02,265
2022-09-03,307
2022-09-04,248
2022-09-05,273
2022-09-06,342
2022-09-07,343
2022-09-08,332
2022-09-09,290
2022-09-10,318
2022-09-11,319
2022-09-12,285
2022-09-13,365
2022-09-14,346
2022-09-15,314
2022-09-16,322
2022-09-17,328
2022-09-18,261
2022-09-19,316
2022-09-20,304
2022-09-21,295
2022-09-22,318
2022-09-23,381
2022-09-24,348
2022-09-25,313
2022-09-26,349
2022-09-27,375
2022-09-28,362
2022-09-29,338
2022-09-30,318
2022-10-01,361
2022-10-02,353
2022-10-03,370
2022-10-04,364
2022-10-05,379
2022-10-06,333
2022-10-07,391
2022-10-08,360
2022-10-09,418
2022-10-10,337
2022-10-11,413
2022-10-12,369
2022-10-13,346
2022-10-14,353
2022-10-15,360
2022-10-16,385
2022-10-17,390
2022-10-18,360
2022-10-19,379
2022-10-20,446
2022-10-21,436
2022-10-22,400
2022-10-23,390
2022-10-24,395
2022-10-25,412
2022-10-26,366
2022-10-27,391
2022-10-28,351
2022-10-29,415
2022-10-30,425
2022-10-31,393
2022-11-01,457
2022-11-02,375
2022-11-03,370
2022-11-04,422
2022-11-05,449
2022-11-06,470
2022-11-07,407
2022-11-08,455
2022-11-09,423
2022-11-10,421
2022-11-11,454
2022-11-12,449
2022-11-13,383
2022-11-14,476
2022-11-15,474
2022-11-16,415
2022-11-17,447
2022-11-18,451
2022-11-19,444
2022-11-20,421
2022-11-21,418
2022-11-22,438
2022-11-23,474
2022-11-24,456
2022-11-25,429
2022-11-26,463
2022-11-27,354
2022-11-28,474
2022-11-29,388
2022-11-30,429
2022-12-01,406
2022-12-02,400
2022-12-03,473
2022-12-04,424
2022-12-05,448
2022-12-06,435
2022-12-07,450
2022-12-08,437
2022-12-09,396
2022-12-10,463
2022-12-11,417
2022-12-12,384
2022-12-13,417
2022-12-14,473
2022-12-15,452
2022-12-16,415
2022-12-17,414
2022-12-18,413
2022-12-19,483
2022-12-20,431
2022-12-21,431
2022-12-22,447
2022-12-23,421
2022-12-24,405
2022-12-25,405
2022-12-26,407
2022-12-27,406
2022-12-28,427
2022-12-29,405
2022-12-30,423
2022-12-31,397
2023-01-01,400
2023-01-02,336
2023-01-03,421
2023-01-04,402
2023-01-05,420
2023-01-06,301
2023-01-07,449
2023-01-08,381
2023-01-09,416
2023-01-10,350
2023-01-11,398
2023-01-12,346
2023-01-13,358
2023-01-14,432
2023-01-15,368
2023-01-16,379
2023-01-17,397
2023-01-18,384
2023-01-19,373
2023-01-20,378
2023-01-21,438
2023-01-22,363
2023-01-23,370
2023-01-24,395
2023-01-25,396
2023-01-26,397
2023-01-27,380
2023-01-28,326
2023-01-29,409
2023-01-30,325
2023-01-31,368
2023-02-01,337
2023-02-02,357
2023-02-03,369
2023-02-04,369
2023-02-05,372
2023-02-06,408
2023-02-07,374
2023-02-08,353
2023-02-09,390
2023-02-10,397
2023-02-11,326
2023-02-12,381
2023-02-13,385
2023-02-14,356
2023-02-15,407
2023-02-16,363
2023-02-17,372
2023-02-18,365
2023-02-19,372
2023-02-20,340
2023-02-21,331
2023-02-22,424
2023-02-23,352
2023-02-24,350
2023-02-25,317
2023-02-26,364
2023-02-27,346
2023-02-28,437
2023-03-01,420
2023-03-02,371
2023-03-03,461
2023-03-04,425
2023-03-05,388
2023-03-06,325
2023-03-07,471
2023-03-08,363
2023-03-09,358
2023-03-10,441
2023-03-11,485
2023-03-12,456
2023-03-13,434
2023-03-14,437
2023-03-15,448
2023-03-16,447
2023-03-17,435
2023-03-18,432
2023-03-19,430
2023-03-20,411
2023-03-21,428
2023-03-22,388
2023-03-23,438
2023-03-24,413
2023-03-25,412
2023-03-26,453
2023-03-27,491
2023-03-28,479
2023-03-29,407
2023-03-30,426
2023-03-31,486
2023-04-01,430
2023-04-02,454
2023-04-03,479
2023-04-04,435
2023-04-05,469
2023-04-06,428
2023-04-07,451
2023-04-08,480
2023-04-09,424
2023-04-10,486
2023-04-11,473
2023-04-12,491
2023-04-13,482
2023-04-14,518
2023-04-15,481
2023-04-16,465
2023-04-17,482
2023-04-18,495
2023-04-19,481
2023-04-20,481
2023-04-21,459
2023-04-22,460
2023-04-23,438
2023-04-24,532
2023-04-25,442
2023-04-26,459
2023-04-27,457
2023-04-28,505
2023-04-29,469
2023-04-30,515
2023-05-01,456
2023-05-02,484
2023-05-03,450
2023-05-04,538
2023-05-05,437
2023-05-06,481
2023-05-07,490
2023-05-08,482
2023-05-09,463
2023-05-10,463
2023-05-11,467
2023-05-12,460
2023-05-13,491
2023-05-14,527
2023-05-15,443
2023-05-16,417
2023-05-17,453
2023-05-18,532
2023-05-19,428
2023-05-20,500
2023-05-21,499
2023-05-22,430
2023-05-23,462
2023-05-24,492
2023-05-25,430
2023-05-26,433
2023-05-27,420
2023-05-28,405
2023-05-29,414
2023-05-30,395
2023-05-31,431
2023-06-01,405
2023-06-02,434
2023-06-03,378
2023-06-04,433
2023-06-05,446
2023-06-06,360
2023-06-07,429
2023-06-08,453
2023-06-09,379
2023-06-10,464
2023-06-11,425
2023-06-12,390
2023-06-13,408
2023-06-14,425
2023-06-15,409
2023-06-16,422
2023-06-17,377
2023-06-18,409
2023-06-19,361
2023-06-20,399
2023-06-21,375
2023-06-22,379
2023-06-23,438
2023-06-24,433
2023-06-25,418
2023-06-26,367
2023-06-27,390
2023-06-28,436
2023-06-29,403
2023-06-30,469
2023-07-01,411
2023-07-02,405
2023-07-03,391
2023-07-04,404
2023-07-05,396
2023-07-06,423
2023-07-07,431
2023-07-08,380
2023-07-09,364
2023-07-10,350
2023-07-11,421
2023-07-12,374
2023-07-13,344
2023-07-14,422
2023-07-15,486
2023-07-16,413
2023-07-17,440
2023-07-18,419
2023-07-19,415
2023-07-20,447
2023-07-21,413
2023-07-22,431
2023-07-23,435
2023-07-24,407
2023-07-25,459
2023-07-26,426
2023-07-27,411
2023-07-28,452
2023-07-29,411
2023-07-30,441
2023-07-31,442
2023-08-01,478
2023-08-02,462
2023-08-03,449
2023-08-04,477
2023-08-05,496
2023-08-06,474
2023-08-07,460
2023-08-08,423
2023-08-09,432
2023-08-10,458
2023-08-11,451
2023-08-12,466
2023-08-13,476
2023-08-14,492
2023-08-15,476
2023-08-16,495
2023-08-17,485
2023-08-18,426
2023-08-19,459
2023-08-20,485
2023-08-21,455
2023-08-22,512
2023-08-23,542
2023-08-24,534
2023-08-25,493
2023-08-26,546
2023-08-27,507
2023-08-28,494
2023-08-29,488
2023-08-30,499
2023-08-31,497
2023-09-01,515
2023-09-02,516
2023-09-03,513
2023-09-04,527
2023-09-05,551
2023-09-06,544
2023-09-07,472
2023-09-08,441
2023-09-09,546
2023-09-10,478
2023-09-11,512
2023-09-12,484
2023-09-13,466
2023-09-14,536
2023-09-15,543
2023-09-16,503
2023-09-17,442
2023-09-18,503
2023-09-19,531
2023-09-20,475
2023-09-21,524
2023-09-22,518
2023-09-23,535
2023-09-24,520
2023-09-25,487
2023-09-26,551
2023-09-27,509
2023-09-28,512
2023-09-29,484
2023-09-30,497
2023-10-01,483
2023-10-02,503
2023-10-03,558
2023-10-04,464
2023-10-05,456
2023-10-06,547
2023-10-07,495
2023-10-08,479
2023-10-09,529
2023-10-10,478
2023-10-11,549
2023-10-12,513
2023-10-13,476
2023-10-14,554
2023-10-15,469
2023-10-16,507
2023-10-17,492
2023-10-18,520
2023-10-19,526
2023-10-20,479
2023-10-21,453
2023-10-22,488
2023-10-23,452
2023-10-24,531
2023-10-25,472
2023-10-26,456
2023-10-27,470
2023-10-28,423
2023-10-29,432
2023-10-30,496
2023-10-31,438
2023-11-01,425
2023-11-02,471
2023-11-03,489
2023-11-04,474
2023-11-05,481
2023-11-06,427
2023-11-07,406
2023-11-08,492
2023-11-09,436
2023-11-10,437
2023-11-11,484
2023-11-12,460
2023-11-13,456
2023-11-14,507
2023-11-15,422
2023-11-16,468
2023-11-17,442
2023-11-18,448
2023-11-19,485
2023-11-20,454
2023-11-21,455
2023-11-22,471
2023-11-23,428
2023-11-24,414
2023-11-25,408
2023-11-26,381
2023-11-27,502
2023-11-28,408
2023-11-29,435
2023-11-30,434
2023-12-01,452
2023-12-02,469
2023-12-03,471
2023-12-04,429
2023-12-05,442
2023-12-06,457
2023-12-07,443
2023-12-08,500
2023-12-09,468
2023-12-10,477
2023-12-11,476
2023-12-12,493
2023-12-13,465
2023-12-14,423
2023-12-15,475
2023-12-16,446
2023-12-17,451
2023-12-18,487
2023-12-19,509
2023-12-20,474
2023-12-21,485
2023-12-22,529
2023-12-23,488
2023-12-24,561
2023-12-25,502
2023-12-26,435
2023-12-27,512
2023-12-28,504
2023-12-29,533
2023-12-30,517
2023-12-31,495
